obj type,pc match method,belief history,n_points history
OrangeCover,chamfer,"[0.8192740082740784, 0.9764138460159302, 0.9976405501365662, 0.9998210072517395, 0.9999891519546509, 0.9999992847442627, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[1067, 3048, 4795, 6723, 9006, 11869, 15423, 20020, 20020, 20020, 20020, 20020]"
OrangeCover,chamfer,"[0.8624672889709473, 0.990936815738678, 0.9992039203643799, 0.9998898506164551, 0.9999668002128601, 0.9999728202819824, 0.9999777674674988, 0.9999818205833435, 0.9999818205833435, 0.9999850988388062, 0.9999850988388062, 0.9999850988388062]","[603, 2747, 5101, 7677, 10644, 14059, 17877, 21709, 21709, 24004, 24004, 24004]"
OrangeCover,chamfer,"[0.9077430963516235, 0.9936572909355164, 0.9993337392807007, 0.9999231696128845, 0.9999949336051941, 0.9999996423721313, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1177, 3428, 5211, 7045, 9228, 11844, 14998, 18888, 23915, 30571, 30571, 30571]"
OrangeCover,chamfer,"[0.8512740731239319, 0.9880416989326477, 0.9991410970687866, 0.9999474287033081, 0.9999963641166687, 0.9999997615814209, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[736, 2635, 4402, 6277, 8363, 10877, 13556, 17348, 19241, 19241, 19241, 19241]"
OrangeCover,chamfer,"[0.8525798916816711, 0.9841613173484802, 0.9985024333000183, 0.9998986124992371, 0.9999946355819702, 0.9999997019767761, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1069, 3033, 4821, 6746, 8973, 11805, 15292, 19744, 19744, 19744, 19744, 19744]"
OrangeCover,chamfer,"[0.8725890517234802, 0.989352285861969, 0.9991151094436646, 0.9999491572380066, 0.9999971985816956, 0.9999998211860657, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[745, 2345, 4056, 5933, 8034, 10307, 13345, 16498, 18754, 18754, 18754, 18754]"
OrangeCover,chamfer,"[0.8524413108825684, 0.9855715036392212, 0.9985384941101074, 0.9998763799667358, 0.9999935030937195, 0.9999996423721313, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1116, 3051, 4823, 6736, 8905, 11704, 15137, 19520, 23765, 23765, 23765, 23765]"
OrangeCover,chamfer,"[0.9156248569488525, 0.9937673211097717, 0.9992709159851074, 0.9999409914016724, 0.9999959468841553, 0.9999997019767761, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1080, 3119, 4860, 6743, 8961, 11631, 14862, 18885, 24017, 31062, 31062, 31062]"
OrangeCover,chamfer,"[0.9205193519592285, 0.993596613407135, 0.999263346195221, 0.9999179244041443, 0.999993622303009, 0.9999995827674866, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1166, 3180, 4982, 6866, 9030, 11705, 14866, 18807, 23880, 30597, 30597, 30597]"
OrangeCover,chamfer,"[0.9006098508834839, 0.9925179481506348, 0.9992774128913879, 0.999927282333374, 0.999994695186615, 0.9999996423721313, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1202, 3216, 4933, 6683, 8847, 11482, 14652, 18607, 23675, 30445, 30445, 30445]"
OrangeCover,chamfer,"[0.8072645664215088, 0.9831992387771606, 0.9988784790039062, 0.9999383687973022, 0.9999960064888, 0.9999997019767761, 0.9999999403953552, 1.0, 1.0, 1.0, 1.0, 1.0]","[734, 2523, 4330, 6301, 8443, 10943, 13919, 17689, 21060, 21060, 21060, 21060]"
BusBar,mean_nn,"[0.6689066886901855, 0.7117533683776855, 0.7511183619499207, 0.7867183089256287, 0.7867183089256287, 0.8184568285942078, 0.8463945388793945, 0.8916724920272827, 0.9376113414764404, 0.9710451364517212, 0.9761843085289001, 0.9761843085289001]","[1765, 2567, 3204, 3798, 3798, 12303, 19736, 27323, 37435, 45537, 50267, 50267]"
BusBar,mean_nn,"[0.6349629759788513, 0.5369581580162048, 0.586320161819458, 0.4858309030532837, 0.3864743113517761, 0.29574939608573914, 0.3391799032688141, 0.43398526310920715, 0.4837709963321686, 0.679210364818573, 0.7212792634963989, 0.7212792634963989]","[4105, 4105, 9890, 9890, 9890, 9890, 11424, 25404, 27884, 41105, 42888, 42888]"
BusBar,mean_nn,"[0.6616612076759338, 0.5659241676330566, 0.6144156455993652, 0.6607374548912048, 0.7041738033294678, 0.6134382486343384, 0.6598124504089355, 0.7434160709381104, 0.7883790135383606, 0.8476805090904236, 0.8718252182006836, 0.8718252182006836]","[2181, 2181, 3795, 11148, 13915, 13915, 19085, 22661, 34023, 40455, 42253, 42253]"
